iter	Passed	Remaining
0	0	88
1	1	81
2	2	82
3	3	76
4	4	76
5	4	75
6	5	75
7	6	74
8	7	73
9	8	72
10	8	72
11	9	72
12	10	71
13	11	70
14	12	69
15	13	69
16	13	68
17	14	67
18	15	66
19	16	65
20	17	64
21	17	62
22	18	61
23	19	61
24	19	59
25	20	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	26	52
33	26	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	33	43
44	34	42
45	35	41
46	36	40
47	37	40
48	37	39
49	38	38
50	39	37
51	40	37
52	41	36
53	41	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	46	30
60	46	30
61	47	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	53	23
69	54	23
70	55	22
71	55	21
72	56	20
73	57	20
74	58	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	67	10
87	68	9
88	69	8
89	70	7
90	70	6
91	71	6
92	72	5
93	73	4
94	73	3
95	74	3
96	75	2
97	75	1
98	76	0
99	77	0
