iter	Passed	Remaining
0	142	142339
1	144	72128
2	145	48369
3	146	36429
4	147	29275
5	148	24620
6	149	21216
7	150	18647
8	151	16633
9	152	15115
10	153	13808
11	154	12715
12	155	11775
13	155	10971
14	156	10295
15	157	9700
16	158	9185
17	159	8705
18	160	8273
19	161	7890
20	161	7535
21	162	7215
22	163	6926
23	163	6665
24	164	6424
25	165	6205
26	166	5998
27	167	5814
28	168	5635
29	169	5479
30	170	5322
31	171	5177
32	172	5041
33	172	4915
34	173	4791
35	174	4675
36	175	4565
37	176	4463
38	177	4364
39	177	4271
40	178	4184
41	180	4108
42	180	4025
43	181	3944
44	182	3871
45	183	3799
46	183	3728
47	184	3668
48	186	3618
49	187	3568
50	188	3512
51	189	3458
52	190	3411
53	191	3359
54	192	3310
55	193	3261
56	194	3216
57	195	3173
58	196	3140
59	197	3097
60	198	3054
61	199	3014
62	200	2974
63	200	2939
64	202	2919
65	204	2887
66	205	2856
67	206	2825
68	207	2800
69	208	2770
70	209	2744
71	210	2713
72	211	2683
73	212	2664
74	213	2636
75	214	2609
76	215	2583
77	216	2555
78	216	2529
79	217	2502
80	218	2479
81	219	2458
82	220	2431
83	221	2410
84	222	2390
85	223	2370
86	224	2351
87	225	2331
88	225	2311
89	226	2292
90	227	2273
91	228	2254
92	230	2248
93	231	2231
94	232	2213
95	233	2198
96	234	2181
97	235	2169
98	236	2153
99	237	2137
100	238	2122
101	239	2106
102	240	2092
103	241	2077
104	242	2064
105	243	2049
106	243	2035
107	244	2020
108	245	2006
109	246	1993
110	247	1980
111	248	1966
112	248	1953
113	249	1940
114	250	1927
115	251	1916
116	252	1903
117	253	1891
118	253	1879
119	254	1868
120	255	1857
121	256	1844
122	257	1835
123	258	1825
124	259	1814
125	260	1804
126	260	1794
127	261	1783
128	262	1773
129	263	1764
130	264	1754
131	265	1745
132	266	1738
133	267	1730
134	268	1722
135	269	1714
136	270	1705
137	271	1697
138	272	1688
139	273	1682
140	274	1675
141	275	1665
142	276	1656
143	277	1647
144	278	1639
145	279	1632
146	280	1625
147	281	1618
148	282	1611
149	283	1604
150	284	1598
151	285	1591
152	286	1585
153	287	1578
154	288	1571
155	289	1566
156	290	1560
157	291	1554
158	292	1548
159	293	1541
160	294	1533
161	295	1526
162	296	1520
163	297	1514
164	298	1508
165	298	1501
166	299	1495
167	300	1488
168	301	1483
169	302	1477
170	303	1471
171	304	1465
172	305	1459
173	306	1453
174	307	1450
175	308	1443
176	309	1438
177	310	1432
178	311	1426
179	311	1421
180	313	1416
181	314	1411
182	315	1406
183	316	1401
184	316	1396
185	317	1391
186	319	1388
187	320	1384
188	321	1381
189	322	1376
190	324	1373
191	325	1369
192	326	1364
193	327	1360
194	328	1355
195	329	1352
196	330	1347
197	331	1343
198	332	1339
199	333	1334
200	334	1331
201	336	1327
202	336	1323
203	337	1318
204	338	1314
205	339	1309
206	341	1308
207	342	1304
208	343	1300
209	344	1295
210	345	1291
211	346	1288
212	347	1284
213	348	1280
214	349	1276
215	350	1272
216	351	1269
217	352	1264
218	353	1260
219	354	1256
220	355	1252
221	356	1248
222	357	1245
223	358	1241
224	359	1237
225	360	1234
226	361	1231
227	362	1227
228	363	1224
229	364	1221
230	365	1217
231	366	1213
232	367	1210
233	368	1207
234	370	1204
235	371	1201
236	372	1197
237	372	1193
238	374	1190
239	375	1189
240	376	1186
241	377	1182
242	378	1179
243	380	1177
244	380	1174
245	381	1170
246	382	1166
247	383	1163
248	384	1160
249	385	1157
250	387	1155
251	388	1152
252	389	1149
253	390	1146
254	391	1143
255	392	1140
256	393	1137
257	394	1135
258	395	1131
259	396	1129
260	398	1127
261	399	1124
262	400	1121
263	401	1118
264	402	1116
265	403	1113
266	404	1110
267	405	1107
268	406	1104
269	407	1102
270	408	1099
271	409	1096
272	410	1093
